car plate,trash type,frame
,Paper Bag,47
,Cardboard,53
,Paper Bag,74
,Paper Bag,79
,Cardboard,79
,Cardboard,80
799.EL1I,Paper Bag,108
,Paper Bag,47
,Cardboard,53
,Paper Bag,74
,Paper Bag,79
,Cardboard,79
,Cardboard,80
799.EL1I,Paper Bag,108
799,Paper Bag,47
,Cardboard,53
,Paper Bag,74
,Paper Bag,79
,Cardboard,79
,Cardboard,80
799.EL1I,Paper Bag,108
799,Paper Bag,47
,Cardboard,53
,Paper Bag,74
,Paper Bag,79
,Cardboard,79
,Cardboard,80
799.EL1I,Paper Bag,108
799,Paper Bag,47
,Cardboard,53
,Paper Bag,74
,Paper Bag,79
,Cardboard,79
,Cardboard,80
799.EL1I,Paper Bag,108
